Name,Location,Rating,Contact
Skinology,"2231 Devine St, Columbia, SC, 29205",5.0,+18037641170
Eva Skin Care,"3924 Forest Dr, Columbia, SC, 29204",4.5,+18037875186
The Art of Aesthetics Med Spa,"1221 Bower Pkwy, Columbia, SC, 29212",5.0,+18038887780
"Alan H Brill, MD - Midland ENT Clinic","3 Richland Medical Park Dr, Columbia, SC, 29203",5.0,+18037447770
Bloom Healing Arts Studio,"141 S Shandon St, Columbia, SC, 29205",5.0,+18035750769
Spa 131,"131 State St, West Columbia, SC, 29169",4.5,+18032519400
Studio G Aesthetics,"7453 Irmo Dr, Columbia, SC, 29212",4.0,+18034624800
Rejuvenations Medical Spa,"7182 Woodrow St, Irmo, SC, 29063",2.5,+18037811201
Simmons Plastic Surgery,"5351 Sunset Blvd, Lexington, SC, 29072",5.0,+18034907644
Total Health Spa at Lake Carolina,"5 Lake Carolina Way, Columbia, SC, 29229",5.0,+18038657720
Balance Medical and Day Spa,"800 Columbiana Dr, Irmo, SC, 29063",3.5,+18037323367
Aquarius Spa & Salon,"113 Virginia St, Chapin, SC, 29036",5.0,+18033451920
Columbia Laser & Aesthetics,"1410 Blanding St, Columbia, SC, 29201",3.0,+18038513459
